timestamp,power_consumption_mW,device_id,label,phase
0,33.7,0,0,idle
1,38.23,0,0,idle
2,27.66,0,0,idle
3,44.17,0,0,idle
4,27.33,0,0,idle
5,25.36,0,0,idle
6,28.11,0,0,idle
7,15.08,0,0,idle
8,22.53,0,0,idle
9,19.91,0,0,idle
10,41.27,0,0,idle
11,27.69,0,0,idle
12,25.87,0,0,idle
13,21.54,0,0,idle
14,24.61,0,0,idle
15,28.89,0,0,idle
16,27.78,0,0,idle
17,34.14,0,0,idle
18,27.75,0,0,idle
19,19.77,0,0,idle
20,36.25,0,0,idle
21,28.47,0,0,idle
22,16.73,0,0,idle
23,28.43,0,0,idle
24,29.22,0,0,idle
25,31.82,0,0,idle
26,25.81,0,0,idle
27,40.11,0,0,idle
28,22.67,0,0,idle
29,34.6,0,0,idle
30,25.8,0,0,idle
31,18.76,0,0,idle
32,39.21,0,0,idle
33,31.43,0,0,idle
34,31.6,0,0,idle
35,35.97,0,0,idle
36,32.84,0,0,idle
37,10.69,0,0,idle
38,30.1,0,0,idle
39,26.76,0,0,idle
40,28.96,0,0,idle
41,40.79,0,0,idle
42,22.53,0,0,idle
43,37.98,0,0,idle
44,26.79,0,0,idle
45,32.71,0,0,idle
46,23.73,0,0,idle
47,23.94,0,0,idle
48,81.45,0,0,normal
49,69.88,0,0,normal
50,43.29,0,0,normal
51,55.21,0,0,normal
52,58.61,0,0,normal
53,88.86,0,0,normal
54,65.67,0,0,normal
55,36.52,0,0,normal
56,76.1,0,0,normal
57,74.21,0,0,normal
58,80.87,0,0,normal
59,110.33,0,0,normal
60,110.05,0,0,normal
61,126.55,0,0,normal
62,129.45,0,0,normal
63,107.52,0,0,normal
64,130.21,0,0,normal
65,111.52,0,0,normal
66,123.05,0,0,normal
67,129.09,0,0,normal
68,127.39,0,0,normal
69,147.78,0,0,normal
70,140.67,0,0,normal
71,105.98,0,0,normal
72,128.97,0,0,normal
73,95.07,0,0,normal
74,116.74,0,0,normal
75,104.45,0,0,normal
76,81.95,0,0,normal
77,86.7,0,0,normal
78,105.42,0,0,normal
79,53.72,0,0,normal
80,52.31,0,0,normal
81,77.7,0,0,normal
82,75.5,0,0,normal
83,76.34,0,0,normal
84,56.77,0,0,normal
85,50.38,0,0,normal
86,69.8,0,0,normal
87,82.29,0,0,normal
88,86.83,0,0,normal
89,93.15,0,0,normal
90,107.67,0,0,normal
91,93.22,0,0,normal
92,114.35,0,0,normal
93,130.46,0,0,normal
94,113.99,0,0,normal
95,129.66,0,0,normal
96,138.76,0,0,normal
97,143.15,0,0,normal
98,126.83,0,0,normal
99,136.63,0,0,normal
100,141.13,0,0,normal
101,148.08,0,0,normal
102,100.97,0,0,normal
103,125.02,0,0,normal
104,123.75,0,0,normal
105,110.83,0,0,normal
106,107.3,0,0,normal
107,80.52,0,0,normal
108,64.42,0,0,normal
109,63.16,0,0,normal
110,96.34,0,0,normal
111,69.03,0,0,normal
112,55.32,0,0,normal
113,59.03,0,0,normal
114,52.59,0,0,normal
115,54.84,0,0,normal
116,69.65,0,0,normal
117,109.92,0,0,normal
118,53.73,0,0,normal
119,83.46,0,0,normal
120,87.88,0,0,normal
121,117.62,0,0,normal
122,97.6,0,0,normal
123,115.08,0,0,normal
124,157.02,0,0,normal
125,117.56,0,0,normal
126,171.94,0,0,normal
127,116.02,0,0,normal
128,157.37,0,0,normal
129,146.25,0,0,normal
130,120.62,0,0,normal
131,79.06,0,0,normal
132,117.23,0,0,normal
133,137.9,0,0,normal
134,101.98,0,0,normal
135,118.75,0,0,normal
136,109.15,0,0,normal
137,69.93,0,0,normal
138,78.27,0,0,normal
139,70.55,0,0,normal
140,68.39,0,0,normal
141,83.27,0,0,normal
142,88.31,0,0,normal
143,59.12,0,0,normal
144,64.93,0,0,normal
145,61.25,0,0,normal
146,63.13,0,0,normal
147,80.46,0,0,normal
148,97.84,0,0,normal
149,105.14,0,0,normal
150,86.44,0,0,normal
151,120.75,0,0,normal
152,116.19,0,0,normal
153,141.49,0,0,normal
154,137.53,0,0,normal
155,133.57,0,0,normal
156,152.05,0,0,normal
157,159.41,0,0,normal
158,149.39,0,0,normal
159,142.64,0,0,normal
160,137.29,0,0,normal
161,121.64,0,0,normal
162,105.99,0,0,normal
163,135.22,0,0,normal
164,118.93,0,0,normal
165,98.02,0,0,normal
166,91.47,0,0,normal
167,98.06,0,0,normal
168,63.46,0,0,normal
169,75.34,0,0,normal
170,53.51,0,0,normal
171,64.62,0,0,normal
172,53.62,0,0,normal
173,35.68,0,0,normal
174,50.75,0,0,normal
175,72.97,0,0,normal
176,82.82,0,0,normal
177,74.2,0,0,normal
178,82.88,0,0,normal
179,94.87,0,0,normal
180,110.86,0,0,normal
181,107.49,0,0,normal
182,125.82,0,0,normal
183,126.9,0,0,normal
184,129.64,0,0,normal
185,136.0,0,0,normal
186,161.73,0,0,normal
187,170.54,0,0,normal
188,153.23,0,0,normal
189,169.27,0,0,normal
190,120.85,0,0,normal
191,96.82,0,0,normal
192,112.43,0,0,normal
193,125.15,0,0,normal
194,121.42,0,0,normal
195,87.51,0,0,normal
196,75.54,0,0,normal
197,100.48,0,0,normal
198,53.5,0,0,normal
199,71.03,0,0,normal
200,40.24,0,0,normal
201,62.13,0,0,normal
202,54.71,0,0,normal
203,43.92,0,0,normal
204,64.79,0,0,normal
205,73.78,0,0,normal
206,49.82,0,0,normal
207,79.98,0,0,normal
208,107.23,0,0,normal
209,109.51,0,0,normal
210,134.42,0,0,normal
211,106.53,0,0,normal
212,128.69,0,0,normal
213,110.41,0,0,normal
214,142.08,0,0,normal
215,112.81,0,0,normal
216,135.44,0,0,normal
217,162.46,0,0,normal
218,161.45,0,0,normal
219,112.38,0,0,normal
220,140.34,0,0,normal
221,98.54,0,0,normal
222,105.28,0,0,normal
